caseid,age,parents_divorced,parents_separated,ever_married,intention_to_marry,num_marriages,separate_or_divorce
198,57,NA,NA,Yes,"NA",1,0
199,51,NA,NA,Yes,"NA",1,0
200,34,14,14,Yes,"NA",1,1
201,54,NA,NA,Yes,"NA",1,0
202,68,NA,NA,Yes,"NA",1,0
203,61,NA,NA,No,"No, Definitely not",0,1
204,24,NA,NA,No,Probably Yes,0,0
205,71,NA,NA,Yes,"No, Definitely not",1,1
206,68,NA,NA,Yes,"NA",1,0
207,59,NA,NA,Yes,"NA",1,0
208,41,NA,NA,Yes,"NA",1,1
209,66,NA,NA,Yes,"NA",2,1
210,56,NA,NA,Yes,"NA",1,2
211,69,NA,NA,Yes,"NA",1,0
212,76,NA,NA,Yes,"NA",1,0
213,53,NA,NA,No,"NA",0,0
214,75,NA,NA,Yes,"No, Definitely not",2,0
215,33,NA,NA,Yes,"NA",1,0
216,30,NA,5,No,Probably Yes,0,1
217,53,NA,NA,Yes,"NA",1,2
218,53,NA,NA,Yes,"NA",1,0
219,70,NA,NA,Yes,"NA",1,0
220,65,NA,NA,Yes,"NA",1,0
221,72,NA,NA,Yes,"NA",1,0
222,37,NA,NA,No,Probably Not,0,2
223,31,NA,NA,No,"NA",0,0
224,53,NA,NA,Yes,"NA",1,1
225,80,NA,NA,Yes,"NA",1,1
226,61,NA,NA,Yes,"NA",1,0
227,45,NA,NA,Yes,"NA",1,0
228,65,NA,NA,Yes,"NA",1,1
229,52,NA,NA,Yes,"NA",1,1
230,32,20,18,No,Probably Yes,0,1
231,66,NA,NA,Yes,"NA",1,0
232,65,NA,NA,Yes,Probably Not,1,3
233,63,NA,NA,Yes,"NA",2,1
234,80,NA,NA,No,"No, Definitely not",0,0
235,67,NA,NA,No,"No, Definitely not",0,0
236,66,NA,NA,Yes,"NA",1,1
237,61,NA,NA,No,"No, Definitely not",0,3
238,71,NA,NA,Yes,"NA",1,0
239,40,NA,NA,Yes,"NA",1,0
240,26,NA,NA,Yes,"NA",1,0
241,57,5,5,Yes,"NA",1,0
242,35,NA,NA,No,"NA",0,0
243,63,NA,NA,Yes,"NA",1,0
244,38,NA,NA,Yes,"NA",1,0
245,74,NA,NA,No,"No, Definitely not",0,0
246,63,NA,NA,Yes,"NA",1,0
247,65,NA,NA,Yes,"NA",1,0
248,19,NA,NA,No,"NA",0,0
249,72,NA,NA,Yes,"No, Definitely not",1,1
250,27,NA,NA,No,Unsure,0,1
251,45,NA,NA,Yes,"NA",2,2
252,62,NA,NA,Yes,"NA",1,0
253,28,NA,NA,No,"NA",0,0
254,56,NA,NA,Yes,"No, Definitely not",1,1
255,58,NA,10,No,"No, Definitely not",0,0
256,60,NA,NA,Yes,"NA",1,0
257,66,NA,NA,Yes,"NA",1,0
258,62,NA,19,Yes,"NA",1,2
259,32,NA,NA,Yes,"NA",1,0
260,39,22,20,No,"NA",0,0
261,56,NA,NA,Yes,"NA",1,0
262,34,NA,NA,Yes,"NA",1,0
263,47,22,21,Yes,Probably Not,1,2
264,22,NA,NA,No,"NA",0,0
265,65,NA,30,Yes,"NA",2,3
266,21,NA,NA,Yes,"NA",1,0
267,49,NA,NA,Yes,"NA",1,1
268,22,NA,NA,No,Probably Yes,0,0
269,65,NA,NA,Yes,"NA",3,3
270,34,0,0,No,Probably Not,0,2
271,50,NA,NA,No,Probably Not,0,0
272,37,NA,NA,Yes,"NA",1,0
273,80,NA,NA,Yes,"NA",2,1
274,61,NA,NA,Yes,"NA",1,0
275,59,NA,NA,Yes,"NA",1,1
276,41,NA,NA,Yes,"NA",1,0
277,65,NA,NA,Yes,"NA",1,0
278,17,NA,NA,No,"NA",0,0
279,80,NA,NA,Yes,"NA",1,0
280,76,NA,NA,Yes,"NA",1,0
281,35,NA,NA,Yes,"NA",1,0
282,66,NA,NA,Yes,"NA",1,1
283,26,NA,2,No,Probably Yes,0,2
284,55,NA,NA,Yes,"NA",1,0
285,16,NA,NA,No,"NA",0,0
286,57,NA,NA,Yes,"NA",1,0
287,44,NA,NA,Yes,"NA",1,0
288,61,NA,NA,Yes,"NA",1,0
289,27,7,7,No,"No, Definitely not",0,0
290,16,NA,NA,No,"NA",0,0
291,71,NA,NA,Yes,"NA",1,0
292,68,NA,NA,Yes,Unsure,1,2
293,80,NA,NA,No,"No, Definitely not",0,0
294,55,NA,35,No,Probably Not,0,0
295,54,NA,NA,Yes,"NA",1,1
296,69,10,10,Yes,Definitely Yes,1,0
297,40,NA,NA,No,Unsure,0,0
298,80,NA,NA,Yes,"NA",1,0
299,61,20,5,Yes,"NA",1,0
300,31,NA,NA,No,Definitely Yes,0,0
301,77,NA,NA,Yes,"No, Definitely not",1,0
302,62,NA,NA,Yes,"No, Definitely not",1,1
303,54,NA,NA,Yes,"NA",1,0
304,80,NA,7,No,"No, Definitely not",0,2
305,71,NA,NA,Yes,"No, Definitely not",1,2
306,59,NA,18,Yes,"NA",1,0
307,41,NA,NA,Yes,"NA",1,0
308,78,NA,NA,Yes,"NA",2,1
309,67,NA,NA,Yes,"NA",1,1
310,74,NA,1,Yes,"No, Definitely not",1,0
311,77,NA,NA,No,Unsure,0,0
312,53,NA,NA,No,"No, Definitely not",0,2
313,61,NA,NA,Yes,"NA",1,0
314,39,NA,NA,Yes,"NA",1,2
